Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-03-12,25.837051106094073,25.8549190529171,25.622635744217774,25.783447265625,643600,12,4,10,3,1993
1993-03-15,25.765583774961275,25.908527374267578,25.765583774961275,25.908527374267578,310800,15,0,11,3,1993
1993-03-16,25.908527374267578,25.97999917392073,25.908527374267578,25.908527374267578,30800,16,1,11,3,1993
1993-03-17,25.87279064170525,25.87279064170525,25.7119790976615,25.74771499633789,21800,17,2,11,3,1993
1993-03-18,25.854923524527717,26.015735073747308,25.854923524527717,25.908527374267578,59300,18,3,11,3,1993
1993-03-19,26.012934788658253,26.012934788658253,25.86931610107422,25.86931610107422,66900,19,4,11,3,1993
1993-03-22,25.617992048403305,25.779563126494146,25.60003970639321,25.725706100463867,183400,22,0,12,3,1993
1993-03-23,25.797525789744345,25.81547813893693,25.74366874216659,25.779573440551758,55200,23,1,12,3,1993
1993-03-24,25.74366874216659,25.887287535707266,25.618002297818496,25.779573440551758,37200,24,2,12,3,1993
1993-03-25,25.797520457337058,25.994996257636785,25.76161576637347,25.941139221191406,110100,25,3,12,3,1993
1993-03-26,25.923178431883237,25.941130771517507,25.779559714809093,25.79751205444336,101500,26,4,12,3,1993
1993-03-29,25.81545835456663,26.030886379778593,25.81545835456663,25.90522003173828,87100,29,0,13,3,1993
1993-03-30,25.941130843093333,25.977035522460938,25.905226163725732,25.977035522460938,56000,30,1,13,3,1993
1993-03-31,26.048847170786246,26.12065653583321,25.95908546447754,25.95908546447754,111600,31,2,13,3,1993
1993-04-01,25.99498245271025,25.99498245271025,25.815459093230206,25.86931610107422,129500,1,3,13,4,1993
1993-04-02,25.65390705673683,25.65390705673683,25.330764770507812,25.330764770507812,59400,2,4,13,4,1993
1993-04-05,25.528230266275123,25.528230266275123,25.384611530599877,25.4564208984375,172200,5,0,14,4,1993
1993-04-06,25.510281355074135,25.510281355074135,25.31280556696308,25.384614944458008,129700,6,1,14,4,1993
1993-04-07,25.4205234519523,25.474380493164062,25.366666410740535,25.474380493164062,28000,7,2,14,4,1993
1993-04-08,25.58208958902406,25.58208958902406,25.330756779026633,25.4384708404541,180800,8,3,14,4,1993
1993-04-12,25.689798016637752,25.81546439407763,25.653893337369215,25.79751205444336,348500,12,0,15,4,1993
1993-04-13,25.779564301172893,25.941135386625927,25.76161195834478,25.85137367248535,146100,13,1,15,4,1993
1993-04-14,25.86932294922512,25.88727528992548,25.79751358642366,25.815465927124023,119600,14,2,15,4,1993
1993-04-15,25.79751358642366,25.86932294922512,25.707751882921837,25.815465927124023,148600,15,3,15,4,1993
1993-04-16,25.83341826782439,25.86932294922512,25.779561245723293,25.815465927124023,47900,16,4,15,4,1993
1993-04-19,25.815475850131925,25.88728524053563,25.689809416925442,25.707761764526367,157000,19,0,16,4,1993
1993-04-20,25.67184635630825,25.70775103652686,25.420513594777958,25.58208465576172,279500,20,1,16,4,1993
1993-04-21,25.63594779003872,25.63594779003872,25.492329034912455,25.564138412475586,67900,21,2,16,4,1993
1993-04-22,25.456425456539495,25.671853598625866,25.240997314453125,25.240997314453125,97700,22,3,16,4,1993
